"","well","coat_protein","coat_amount_ug","primary_conc_ug_ml","primary_name","detection","detection_dil","od450"
"1","A01","marmoset_aZIKA",0.2,10,"5F7","GaM",1.421,1.421
"2","A02","marmoset_aZIKA",0.2,10,"5F7","GaM",1.468,1.468
"3","A03","marmoset_aZIKA",0.2,10,"5F7","GaM",1.478,1.478
"4","A04","marmoset_aZIKA",0.2,10,"1D7","GaM",0.948,0.948
"5","A05","marmoset_aZIKA",0.2,10,"1D7","GaM",0.951,0.951
"6","A06","marmoset_aZIKA",0.2,10,"1D7","GaM",0.952,0.952
"7","A07","marmoset_aZIKA",0.2,10,"non-specific","GaM",0.036,0.036
"8","A08","marmoset_aZIKA",0.2,10,"non-specific","GaM",0.044,0.044
"9","A09","marmoset_aZIKA",0.2,10,"non-specific","GaM",0.039,0.039
"10","B01","marmoset_aZIKA",0.2,2.5,"5F7","GaM",1.449,1.449
"11","B02","marmoset_aZIKA",0.2,2.5,"5F7","GaM",1.348,1.348
"12","B03","marmoset_aZIKA",0.2,2.5,"5F7","GaM",1.347,1.347
"13","B04","marmoset_aZIKA",0.2,2.5,"1D7","GaM",0.933,0.933
"14","B05","marmoset_aZIKA",0.2,2.5,"1D7","GaM",0.95,0.95
"15","B06","marmoset_aZIKA",0.2,2.5,"1D7","GaM",0.919,0.919
"16","B07","marmoset_aZIKA",0.2,2.5,"non-specific","GaM",0.035,0.035
"17","B08","marmoset_aZIKA",0.2,2.5,"non-specific","GaM",0.041,0.041
"18","B09","marmoset_aZIKA",0.2,2.5,"non-specific","GaM",0.035,0.035
"19","C01","marmoset_aZIKA",0.2,0.625,"5F7","GaM",1.143,1.143
"20","C02","marmoset_aZIKA",0.2,0.625,"5F7","GaM",1.084,1.084
"21","C03","marmoset_aZIKA",0.2,0.625,"5F7","GaM",1.08,1.08
"22","C04","marmoset_aZIKA",0.2,0.625,"1D7","GaM",0.761,0.761
"23","C05","marmoset_aZIKA",0.2,0.625,"1D7","GaM",0.744,0.744
"24","C06","marmoset_aZIKA",0.2,0.625,"1D7","GaM",0.793,0.793
"25","C07","marmoset_aZIKA",0.2,0.625,"non-specific","GaM",0.039,0.039
"26","C08","marmoset_aZIKA",0.2,0.625,"non-specific","GaM",0.039,0.039
"27","C09","marmoset_aZIKA",0.2,0.625,"non-specific","GaM",0.042,0.042
"28","D01","marmoset_aZIKA",0.2,0.15625,"5F7","GaM",0.558,0.558
"29","D02","marmoset_aZIKA",0.2,0.15625,"5F7","GaM",0.534,0.534
"30","D03","marmoset_aZIKA",0.2,0.15625,"5F7","GaM",0.525,0.525
"31","D04","marmoset_aZIKA",0.2,0.15625,"1D7","GaM",0.42,0.42
"32","D05","marmoset_aZIKA",0.2,0.15625,"1D7","GaM",0.449,0.449
"33","D06","marmoset_aZIKA",0.2,0.15625,"1D7","GaM",0.454,0.454
"34","D07","marmoset_aZIKA",0.2,0.15625,"non-specific","GaM",0.03,0.03
"35","D08","marmoset_aZIKA",0.2,0.15625,"non-specific","GaM",0.035,0.035
"36","D09","marmoset_aZIKA",0.2,0.15625,"non-specific","GaM",0.039,0.039
"37","E01","marmoset_aZIKA",0.2,0.0390625,"5F7","GaM",0.147,0.147
"38","E02","marmoset_aZIKA",0.2,0.0390625,"5F7","GaM",0.151,0.151
"39","E03","marmoset_aZIKA",0.2,0.0390625,"5F7","GaM",0.144,0.144
"40","E04","marmoset_aZIKA",0.2,0.0390625,"1D7","GaM",0.141,0.141
"41","E05","marmoset_aZIKA",0.2,0.0390625,"1D7","GaM",0.136,0.136
"42","E06","marmoset_aZIKA",0.2,0.0390625,"1D7","GaM",0.148,0.148
"43","E07","marmoset_aZIKA",0.2,0.0390625,"non-specific","GaM",0.037,0.037
"44","E08","marmoset_aZIKA",0.2,0.0390625,"non-specific","GaM",0.039,0.039
"45","E09","marmoset_aZIKA",0.2,0.0390625,"non-specific","GaM",0.04,0.04
"46","F01","marmoset_aZIKA",0.2,0.009765625,"5F7","GaM",0.063,0.063
"47","F02","marmoset_aZIKA",0.2,0.009765625,"5F7","GaM",0.059,0.059
"48","F03","marmoset_aZIKA",0.2,0.009765625,"5F7","GaM",0.053,0.053
"49","F04","marmoset_aZIKA",0.2,0.009765625,"1D7","GaM",0.064,0.064
"50","F05","marmoset_aZIKA",0.2,0.009765625,"1D7","GaM",0.066,0.066
"51","F06","marmoset_aZIKA",0.2,0.009765625,"1D7","GaM",0.044,0.044
"52","F07","marmoset_aZIKA",0.2,0.009765625,"non-specific","GaM",0.044,0.044
"53","F08","marmoset_aZIKA",0.2,0.009765625,"non-specific","GaM",0.041,0.041
"54","F09","marmoset_aZIKA",0.2,0.009765625,"non-specific","GaM",0.036,0.036
"55","G01","marmoset_aZIKA",0.2,0.002441406,"5F7","GaM",0.036,0.036
"56","G02","marmoset_aZIKA",0.2,0.002441406,"5F7","GaM",0.048,0.048
"57","G03","marmoset_aZIKA",0.2,0.002441406,"5F7","GaM",0.046,0.046
"58","G04","marmoset_aZIKA",0.2,0.002441406,"1D7","GaM",0.048,0.048
"59","G05","marmoset_aZIKA",0.2,0.002441406,"1D7","GaM",0.038,0.038
"60","G06","marmoset_aZIKA",0.2,0.002441406,"1D7","GaM",0.043,0.043
"61","G07","marmoset_aZIKA",0.2,0.002441406,"non-specific","GaM",0.032,0.032
"62","G08","marmoset_aZIKA",0.2,0.002441406,"non-specific","GaM",0.037,0.037
"63","G09","marmoset_aZIKA",0.2,0.002441406,"non-specific","GaM",0.044,0.044
"64","H01","marmoset_aZIKA",0.2,0.000610352,"blank","GaM",0.032,0.032
"65","H02","marmoset_aZIKA",0.2,0.000610352,"blank","GaM",0.033,0.033
"66","H03","marmoset_aZIKA",0.2,0.000610352,"blank","GaM",0.032,0.032
"67","H04","marmoset_aZIKA",0.2,0.000610352,"blank","GaM",0.041,0.041
"68","H05","marmoset_aZIKA",0.2,0.000610352,"blank","GaM",0.032,0.032
"69","H06","marmoset_aZIKA",0.2,0.000610352,"blank","GaM",0.039,0.039
"70","H07","marmoset_aZIKA",0.2,0.000610352,"blank","GaM",0.032,0.032
"71","H08","marmoset_aZIKA",0.2,0.000610352,"blank","GaM",0.042,0.042
"72","H09","marmoset_aZIKA",0.2,0.000610352,"blank","GaM",0.04,0.04
